"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"47"	"middle-MMV-T5-Rep1"	802	"3_5_1_M"	53	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"48"	"middle-MMV-T5-Rep2"	25189	"3_5_2_M"	59	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"49"	"middle-MMV-T5-Rep3"	1557	"3_5_3_M"	65	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"50"	"middle-MMV-T5-Rep4"	1058	"3_5_4_M"	71	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"51"	"middle-MMV-T5-Rep5"	2137	"3_5_5_M"	136	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"52"	"middle-MMV-T5-Rep6"	69446	"3_5_6_M"	83	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"53"	"middle-MMV-T9-Rep1"	6917	"3_9_1_M"	111	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"54"	"middle-MMV-T9-Rep2"	21582	"3_9_2_M"	114	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"55"	"middle-MMV-T9-Rep3"	2490	"3_9_3_M"	140	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"56"	"middle-MMV-T9-Rep4"	9619	"3_9_4_M"	145	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"57"	"middle-MMV-T9-Rep5"	2643	"3_9_5_M"	236	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"58"	"middle-MMV-T9-Rep6"	2540	"3_9_6_M"	24	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"59"	"middle-VMV-T12-Rep1"	811	"3_12_1_M"	122	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"60"	"middle-VMV-T12-Rep2"	206147	"3_12_2_M"	214	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"61"	"middle-VMV-T12-Rep3"	1838	"3_12_3_M"	73	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"62"	"middle-VMV-T12-Rep4"	12921	"3_12_4_M"	60	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"63"	"middle-VMV-T12-Rep5"	17578	"3_12_5_M"	137	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"64"	"middle-VMV-T12-Rep6"	1951	"3_12_6_M"	129	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"65"	"middle-VMV-T3-Rep1"	47518	"3_3_1_M"	17	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"66"	"middle-VMV-T3-Rep2"	1038	"3_3_2_M"	23	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"67"	"middle-VMV-T3-Rep3"	23974	"3_3_3_M"	29	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"68"	"middle-VMV-T3-Rep4"	2174	"3_3_4_M"	35	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"69"	"middle-VMV-T3-Rep5"	1190	"3_3_5_M"	41	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"70"	"middle-VMV-T3-Rep6"	3960	"3_3_6_M"	47	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
