"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"56"	"middle-MMV-T9-Rep2"	21655	"3_9_2_M"	114	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"57"	"middle-MMV-T9-Rep3"	2868	"3_9_3_M"	140	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"58"	"middle-MMV-T9-Rep4"	11144	"3_9_4_M"	145	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"59"	"middle-MMV-T9-Rep5"	3694	"3_9_5_M"	236	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"60"	"middle-MMV-T9-Rep6"	3085	"3_9_6_M"	24	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"61"	"middle-VMV-T12-Rep1"	1050	"3_12_1_M"	122	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"62"	"middle-VMV-T12-Rep2"	206214	"3_12_2_M"	214	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"63"	"middle-VMV-T12-Rep3"	2380	"3_12_3_M"	73	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"64"	"middle-VMV-T12-Rep4"	13129	"3_12_4_M"	60	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"65"	"middle-VMV-T12-Rep5"	17626	"3_12_5_M"	137	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"66"	"middle-VMV-T12-Rep6"	2300	"3_12_6_M"	129	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"67"	"middle-VMV-T3-Rep1"	47729	"3_3_1_M"	17	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"68"	"middle-VMV-T3-Rep2"	1611	"3_3_2_M"	23	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"69"	"middle-VMV-T3-Rep3"	23989	"3_3_3_M"	29	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"70"	"middle-VMV-T3-Rep4"	2651	"3_3_4_M"	35	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"71"	"middle-VMV-T3-Rep5"	1526	"3_3_5_M"	41	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"72"	"middle-VMV-T3-Rep6"	5733	"3_3_6_M"	47	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"73"	"middle-VMV-T8-Rep1"	30387	"3_8_1_M"	88	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"74"	"middle-VMV-T8-Rep2"	14579	"3_8_2_M"	223	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"75"	"middle-VMV-T8-Rep3"	8448	"3_8_3_M"	98	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"76"	"middle-VMV-T8-Rep4"	55457	"3_8_4_M"	179	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"77"	"middle-VMV-T8-Rep5"	1979	"3_8_5_M"	102	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"78"	"middle-VMV-T8-Rep6"	3056	"3_8_6_M"	186	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"79"	"pyloric-MMV-T1-Rep1"	4377	"3_1_7_P"	164	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"80"	"pyloric-MMV-T1-Rep2"	235	"3_1_2_P"	203	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
